width,points,device,chunk,stage,seconds,peak_rss_gb,note
300,2809,cpu,284981,predict_memory,nan,0.2763,images 0.00GB of 34.36GB budget
300,0,cpu,284981,images,0.009926,0.2879,
300,2809,cpu,284981,upload,0.001355,0.4035,
300,2809,cpu,284981,extract,0.005022,0.4035,
300,2809,cpu,284981,correlate,0.274446,0.4035,
300,2809,cpu,284981,refine,0.000385,0.4035,
300,2809,cpu,284981,total,0.281339,0.4035,"9,984 points/s"
540,9216,cpu,194969,predict_memory,nan,0.2775,images 0.00GB of 34.36GB budget
540,0,cpu,194969,images,0.030806,0.3119,
540,9216,cpu,194969,upload,0.002765,0.8637,
540,9216,cpu,194969,extract,0.018820,0.8637,
540,9216,cpu,194969,correlate,1.426589,0.8637,
540,9216,cpu,194969,refine,0.001075,0.8637,
540,9216,cpu,194969,total,1.449415,0.8637,"6,358 points/s"
972,29584,cpu,116918,predict_memory,nan,0.2763,images 0.01GB of 34.36GB budget
972,0,cpu,116918,images,0.106563,0.3883,
972,29584,cpu,116918,upload,0.006220,3.2371,
972,29584,cpu,116918,extract,0.092425,3.2371,
972,29584,cpu,116918,correlate,7.711291,3.2371,
972,29584,cpu,116918,refine,0.001617,3.2371,
972,29584,cpu,116918,total,7.811754,3.2371,"3,787 points/s"
1750,95481,cpu,58792,predict_memory,nan,0.2762,images 0.02GB of 34.36GB budget
1750,0,cpu,58792,images,0.349167,0.6389,
1750,95481,cpu,58792,upload,0.018028,10.2301,
1750,95481,cpu,58792,extract,0.412081,10.2301,
1750,95481,cpu,58792,correlate,52.993521,10.2301,
1750,95481,cpu,58792,refine,0.007376,10.2301,
1750,95481,cpu,58792,total,53.431362,10.2301,"1,787 points/s"
3149,308025,cpu,23711,predict_memory,nan,0.2757,images 0.08GB of 34.36GB budget
3149,0,cpu,23711,images,1.214801,1.5172,
3149,308025,cpu,23711,upload,0.056594,12.1742,
3149,308025,cpu,23711,extract,2.511404,12.1742,
3149,308025,cpu,23711,correlate,510.075386,12.1742,
3149,308025,cpu,23711,refine,0.016172,12.1742,
3149,308025,cpu,23711,total,512.661058,12.1742,601 points/s
5669,996004,cpu,0,STOPPED_cost_gate,4890.214293,nan,"predicted 4,890s from 3149px rate (512.7s), budget 3,600s"
300,2809,mps,284981,predict_memory,nan,0.2763,images 0.00GB of 26.80GB budget
300,0,mps,284981,images,0.009552,0.2884,
300,2809,mps,284981,upload,0.003950,0.3932,
300,2809,mps,284981,extract,0.154073,0.3932,
300,2809,mps,284981,correlate,0.058010,0.3932,
300,2809,mps,284981,refine,0.008445,0.3932,
300,2809,mps,284981,total,0.236685,0.3932,"11,868 points/s"
540,9216,mps,194969,predict_memory,nan,0.2769,images 0.00GB of 26.80GB budget
540,0,mps,194969,images,0.030382,0.3115,
540,9216,mps,194969,upload,0.006241,0.4196,
540,9216,mps,194969,extract,0.175287,0.4196,
540,9216,mps,194969,correlate,0.327743,0.4196,
540,9216,mps,194969,refine,0.008224,0.4196,
540,9216,mps,194969,total,0.529210,0.4196,"17,415 points/s"
972,29584,mps,116918,predict_memory,nan,0.2769,images 0.01GB of 26.80GB budget
972,0,mps,116918,images,0.101008,0.3883,
972,29584,mps,116918,upload,0.010309,0.5009,
972,29584,mps,116918,extract,0.317563,0.5009,
972,29584,mps,116918,correlate,0.705173,0.5009,
972,29584,mps,116918,refine,0.009592,0.5009,
972,29584,mps,116918,total,1.080723,0.5009,"27,374 points/s"
1750,95481,mps,58792,predict_memory,nan,0.2772,images 0.02GB of 26.80GB budget
1750,0,mps,58792,images,0.340207,0.6400,
1750,95481,mps,58792,upload,0.053561,0.7736,
1750,95481,mps,58792,extract,1.275518,0.7736,
1750,95481,mps,58792,correlate,3.337346,0.7736,
1750,95481,mps,58792,refine,0.031475,0.7736,
1750,95481,mps,58792,total,4.840982,0.7736,"19,723 points/s"
3149,308025,mps,23711,predict_memory,nan,0.2769,images 0.08GB of 26.80GB budget
3149,0,mps,23711,images,1.220008,1.5179,
3149,308025,mps,23711,upload,0.092675,1.7170,
3149,308025,mps,23711,extract,8.772862,1.7170,
3149,308025,mps,23711,correlate,24.491257,1.7170,
3149,308025,mps,23711,refine,0.104454,1.7170,
3149,308025,mps,23711,total,34.648021,1.7170,"8,890 points/s"
5669,996004,mps,8787,predict_memory,nan,0.2791,images 0.26GB of 26.80GB budget
5669,0,mps,8787,images,4.168690,4.0724,
5669,996004,mps,8787,upload,0.223748,4.3324,
5669,996004,mps,8787,extract,70.249865,4.3324,
5669,996004,mps,8787,correlate,175.536640,4.3324,
5669,996004,mps,8787,refine,0.934577,4.3324,
5669,996004,mps,8787,total,256.467508,4.3324,"3,884 points/s"
10204,3229209,mps,3002,predict_memory,nan,0.2788,images 0.83GB of 26.80GB budget
10204,0,mps,3002,images,13.981246,13.2955,
10204,3229209,mps,3002,upload,0.660100,13.9287,
10204,3229209,mps,3002,extract,644.729415,13.9287,
10204,3229209,mps,3002,correlate,1589.199607,13.9287,
10204,3229209,mps,3002,refine,9.329825,13.9287,
10204,3229209,mps,3002,total,2334.740407,13.9287,"1,383 points/s"
18367,10452289,mps,0,STOPPED_cost_gate,23937.032720,nan,"predicted 23,937s from 10204px rate (2334.7s), budget 3,600s"
