 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-135,136,0,0,0,0,0,0,0,0,-1,15,14,0,0,-135,136
-130,136,-6,-8,0,0,0,0,0,0,-1,20,14,-6,8,-136,128
-125,136,-6,-8,4.52343e-06,-3.71679e-07,-8.0201e-07,4.55606e-06,-4.04312e-07,-0.0811981,7.25576e-06,25,14,-6,8,-131,128
-120,136,-5.99999,-8.00001,4.07849e-06,-4.01011e-06,5.37915e-06,4.89116e-06,-4.82278e-06,0.293433,0,30,14,-5.99999,8,-126,128
-115,136,-5.99985,-8.00004,1.27587e-06,-3.1949e-06,7.35525e-06,3.34419e-06,-5.26322e-06,0.512318,0,35,14,-5.99985,8.00004,-121,128
-110,136,-5.99995,-8.00005,-9.89031e-07,6.11294e-07,4.06204e-06,1.99409e-06,-2.37183e-06,0.973047,0,40,14,-5.99995,8.00005,-116,128
-105,136,-5.99999,-7.99997,-2.12006e-06,3.81e-06,-7.20134e-07,3.83179e-06,-2.14184e-06,-1.51037,0,45,14,-5.99999,7.99997,-111,128
-100,136,-5.99995,-8.00004,-1.62478e-06,4.45303e-06,-4.37977e-06,5.15986e-06,-2.33161e-06,-1.25858,0,50,14,-5.99995,8.00004,-106,128
-95,136,-5.99997,-8.00006,-1.21316e-06,3.65935e-06,-4.31864e-06,4.47856e-06,-2.03236e-06,-1.20819,0,55,14,-5.99997,8.00006,-101,128
-90,136,-6,-8.00001,-9.76851e-07,3.54175e-06,-3.74167e-06,4.21578e-06,-1.65089e-06,-1.22499,7.20593e-07,60,14,-6,8.00001,-96,128
-85,136,-6,-8,1.3038e-08,3.02358e-06,-1.56353e-06,3.21448e-06,-1.77861e-07,-1.33129,4.72579e-06,65,14,-6,8,-91,128
-80,136,-5.99999,-7.99999,4.5112e-08,2.72933e-06,1.0261e-06,2.82405e-06,-4.96068e-08,1.38823,5.71945e-06,70,14,-5.99999,8,-86,128
-75,136,-5.99992,-8.00008,-4.83533e-07,9.7116e-07,3.12624e-06,1.96787e-06,-1.48025e-06,1.00316,0,75,14,-5.99992,8.00008,-80.9999,128
-70,136,-6.00002,-7.99999,-2.32234e-07,3.70261e-06,1.02326e-06,3.76805e-06,-2.97671e-07,1.44359,6.57694e-06,80,14,-6.00002,7.99999,-76,128
-65,136,-6.00002,-7.99999,6.14353e-07,6.68977e-06,-2.20683e-06,6.88397e-06,4.20158e-07,-1.39659,1.25735e-05,85,14,-6.00002,7.99999,-71,128
-60,136,-5.99995,-7.99997,1.2696e-06,8.07636e-06,-3.22335e-06,8.43868e-06,9.07278e-07,-1.34966,1.64793e-05,90,14,-5.99996,7.99997,-66,128
-55,136,-5.99997,-8,3.44108e-07,6.90423e-06,-2.19453e-06,7.0829e-06,1.65442e-07,-1.40938,0,95,14,-5.99997,8,-61,128
-50,136,-5.99997,-8,-1.6359e-06,7.0154e-06,-2.46502e-06,7.18757e-06,-1.80807e-06,-1.43201,1.46574e-05,100,14,-5.99997,8,-56,128
-45,136,-6,-8,-2.01585e-06,6.29879e-06,-3.96751e-06,6.74783e-06,-2.46489e-06,-1.34819,1.39599e-05,105,14,-6,8,-51,128
-40,136,-5.99999,-8.00001,-6.4708e-07,5.48897e-06,-4.95866e-06,6.36554e-06,-1.52365e-06,-1.23096,0,110,14,-5.99999,8.00001,-46,128
-35,136,-6,-8,1.50098e-06,1.22732e-06,-3.93717e-06,3.33748e-06,-6.09186e-07,-0.750701,0,115,14,-6,8,-41,128
-30,136,-5.99999,-8,2.87674e-06,-4.02729e-06,8.83118e-07,2.90487e-06,-4.05541e-06,0.0636112,9.99764e-06,120,14,-6,8,-36,128
-25,136,-5.99996,-8.00008,1.9568e-06,-5.35191e-06,3.73353e-06,2.40599e-06,-5.8011e-06,0.236138,0,125,14,-5.99996,8.00008,-31,128
-20,136,-5.99992,-8.00002,-5.37622e-07,-3.59872e-06,4.72929e-06,7.48585e-07,-4.88493e-06,0.498173,0,130,14,-5.99991,8.00002,-25.9999,128
-15,136,-6,-8.00001,-2.62508e-06,-8.36827e-07,2.37599e-06,-2.44081e-07,-3.21783e-06,1.10799,9.62553e-06,135,14,-6,8.00001,-21,128
-10,136,-5.99998,-8.00001,-2.80202e-06,1.00936e-06,-3.39839e-07,1.01692e-06,-2.80958e-06,-1.52633,0,140,14,-5.99999,8.00001,-16,128
