scenario,size,n_calls,workers,sequential_s,threads_s,processes_s,threads_speedup,processes_speedup
book_scale,40,100,10,0.00752,0.02057,0.77663,0.366,0.01
book_scale,40,1000,10,0.07277,0.18621,0.99653,0.391,0.073
book_scale,40,10000,10,0.70866,1.83165,2.06538,0.387,0.343
book_scale,40,100000,10,7.16526,18.32857,14.26206,0.391,0.502
book_scale,40,1000000,10,71.65412,169.90165,116.62403,0.422,0.614
large_subset,200,16,10,0.01608,0.0087,0.83688,1.847,0.019
large_subset,500,16,10,0.10876,0.02691,0.82919,4.041,0.131
large_subset,1000,16,10,0.46973,0.10719,0.99717,4.382,0.471
large_subset,2000,16,10,2.2572,0.50896,2.85197,4.435,0.791
realistic_mesh,100,1000,10,0.26763,0.24035,0.8058,1.114,0.332
realistic_mesh,100,10000,10,2.6885,2.45357,2.13847,1.096,1.257
realistic_mesh,100,100000,10,26.81134,24.32667,15.24042,1.102,1.759
realistic_mesh,200,1000,10,0.95522,0.34662,1.02504,2.756,0.932
realistic_mesh,200,10000,10,9.59174,3.43856,4.41874,2.789,2.171
realistic_mesh,200,100000,10,98.60379,31.72111,36.23009,3.108,2.722
