 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-132,134,0.345676,0.00246239,0,0,0,0,0,0,-1,18,16,0.345676,-0.00246204,-131.654,134.002
-127,134,0.455669,0.000923157,0,0,0,0,0,0,-1,23,16,0.455669,-0.000922879,-126.544,134.001
-122,134,0.565947,-1.90735e-05,0,0,0,0,0,0,-1,28,16,0.565946,1.90089e-05,-121.434,134
-117,134,0.679672,0.000161171,0,0,0,0,0,0,-1,33,16,0.679673,-0.000161545,-116.32,134
-112,134,0.781364,-0.00105476,0,0,0,0,0,0,-1,38,16,0.781364,0.00105485,-111.219,133.999
-107,134,0.877148,0.00012207,0,0,0,0,0,0,-1,43,16,0.877148,-0.000121877,-106.123,134
-102,134,0.966831,-0.00152969,0,0,0,0,0,0,-1,48,16,0.96683,0.00152882,-101.033,133.998
-97,134,1.05568,-0.00109863,0,0,0,0,0,0,-1,53,16,1.05567,0.001099,-95.9443,133.999
-92,134,1.14375,-0.00197601,0,0,0,0,0,0,-1,58,16,1.14375,0.00197675,-90.8563,133.998
-87,134,1.2401,-0.00268173,0,0,0,0,0,0,-1,63,16,1.24011,0.00268215,-85.7599,133.997
-82,134,1.34381,-0.00308037,0,0,0,0,0,0,-1,68,16,1.34381,0.00308,-80.6562,133.997
-77,134,1.45335,-0.00257683,0,0,0,0,0,0,-1,73,16,1.45335,0.00257685,-75.5467,133.997
-72,134,1.56346,-0.00154114,0,0,0,0,0,0,-1,78,16,1.56346,0.00154205,-70.4365,133.998
-67,134,1.67184,-0.00104523,0,0,0,0,0,0,-1,83,16,1.67184,0.00104474,-65.3282,133.999
-62,134,1.7762,-0.000844955,0,0,0,0,0,0,-1,88,16,1.7762,0.000844226,-60.2238,133.999
-57,134,1.87356,0.000299454,0,0,0,0,0,0,-1,93,16,1.87356,-0.000299598,-55.1264,134
-52,134,1.96291,0.000453949,0,0,0,0,0,0,-1,98,16,1.96291,-0.000454406,-50.0371,134
-47,134,2.05173,0.000292778,0,0,0,0,0,0,-1,103,16,2.05174,-0.000292727,-44.9483,134
-42,134,2.14273,0.00178623,0,0,0,0,0,0,-1,108,16,2.14273,-0.00178628,-39.8573,134.002
-37,134,2.23598,0.000105858,0,0,0,0,0,0,-1,113,16,2.23599,-0.000105891,-34.764,134
-32,134,2.34243,-0.000497818,0,0,0,0,0,0,-1,118,16,2.34243,0.000497882,-29.6576,133.999
-27,134,2.45535,-0.00038147,0,0,0,0,0,0,-1,123,16,2.45534,0.000380822,-24.5447,134
-22,134,2.5675,0.000271797,0,0,0,0,0,0,-1,128,16,2.56751,-0.000271592,-19.4325,134
-17,134,2.67964,0.0011692,0,0,0,0,0,0,-1,133,16,2.67964,-0.00116886,-14.3204,134.001
-12,134,2.78218,-3.62396e-05,0,0,0,0,0,0,-1,138,16,2.78219,3.5478e-05,-9.21782,134
-7,134,2.87538,-0.000259399,0,0,0,0,0,0,-1,143,16,2.87538,0.000259236,-4.12462,134
-2,134,2.96564,-0.000265121,0,0,0,0,0,0,-1,148,16,2.96564,0.000264357,0.965637,134
3,134,3.05165,-0.000621796,0,0,0,0,0,0,-1,153,16,3.05165,0.000622244,6.05165,133.999
8,134,3.14119,-0.000457764,0,0,0,0,0,0,-1,158,16,3.14119,0.000458407,11.1412,134
13,134,3.23947,-0.00118065,0,0,0,0,0,0,-1,163,16,3.23948,0.00118018,16.2395,133.999
18,134,3.34373,-0.000150681,0,0,0,0,0,0,-1,168,16,3.34373,0.000150482,21.3437,134
23,134,3.45491,0.00329494,0,0,0,0,0,0,-1,173,16,3.45492,-0.00329467,26.4549,134.003
28,134,3.56911,0.00509453,0,0,0,0,0,0,-1,178,16,3.56911,-0.00509411,31.5691,134.005
33,134,3.67906,0.00308323,0,0,0,0,0,0,-1,183,16,3.67905,-0.0030833,36.6791,134.003
38,134,3.78229,0.00231266,0,0,0,0,0,0,-1,188,16,3.78228,-0.00231235,41.7823,134.002
43,134,3.87573,0.0012722,0,0,0,0,0,0,-1,193,16,3.87574,-0.00127223,46.8757,134.001
48,134,3.96344,0.000517845,0,0,0,0,0,0,-1,198,16,3.96344,-0.000518154,51.9634,134.001
53,134,4.05107,-0.000226974,0,0,0,0,0,0,-1,203,16,4.05106,0.000226914,57.0511,134
58,134,4.14113,-0.000547409,0,0,0,0,0,0,-1,208,16,4.14113,0.000547865,62.1411,133.999
63,134,4.23933,0.00105762,0,0,0,0,0,0,-1,213,16,4.23933,-0.00105748,67.2393,134.001
68,134,4.34398,0.00145435,0,0,0,0,0,0,-1,218,16,4.34397,-0.00145419,72.344,134.001
73,134,4.45255,0.00191021,0,0,0,0,0,0,-1,223,16,4.45255,-0.00190995,77.4525,134.002
78,134,4.5659,0.000533104,0,0,0,0,0,0,-1,228,16,4.5659,-0.000533297,82.5659,134.001
83,134,4.67574,0.000796318,0,0,0,0,0,0,-1,233,16,4.67573,-0.00079592,87.6757,134.001
88,134,4.78111,0.00117779,0,0,0,0,0,0,-1,238,16,4.78112,-0.0011779,92.7811,134.001
93,134,4.87605,0.000730515,0,0,0,0,0,0,-1,243,16,4.87606,-0.000730368,97.8761,134.001
98,134,4.96585,0.000138283,0,0,0,0,0,0,-1,248,16,4.96586,-0.000138507,102.966,134
103,134,5.05374,-0.00019455,0,0,0,0,0,0,-1,253,16,5.05375,0.000194711,108.054,134
108,134,5.14255,-0.000453949,0,0,0,0,0,0,-1,258,16,5.14254,0.000453509,113.143,134
113,134,5.23895,-0.00139427,0,0,0,0,0,0,-1,263,16,5.23896,0.00139483,118.239,133.999
118,134,5.34616,-0.00299072,0,0,0,0,0,0,-1,268,16,5.34615,0.00299107,123.346,133.997
123,134,5.45395,-0.00115204,0,0,0,0,0,0,-1,273,16,5.45395,0.00115184,128.454,133.999
128,134,0,0,0,0,0,0,0,0,-1,278,16,0,0,128,134
-132,129,0.347328,0.00213432,0.0214414,-8.5165e-05,-0.000395432,0.0214486,-9.24272e-05,-0.0183613,0.00490474,18,21,0.347328,-0.0021352,-131.653,129.002
-127,129,0.455818,-7.62939e-05,0.0215901,-3.67537e-05,-0.00018328,0.0215917,-3.83072e-05,-0.00847383,0.0051549,23,21,0.455819,7.53854e-05,-126.544,129
-122,129,0.56563,-0.000394821,0.0213697,-3.11372e-05,-2.20224e-06,0.0213697,-3.11378e-05,-0.000102904,0.00499006,28,21,0.565629,0.0003946,-121.434,129
-117,129,0.678181,0.000385284,0.0207374,-5.85281e-05,0.000112128,0.020738,-5.91325e-05,0.0053916,0.00441171,33,21,0.678181,-0.000385148,-116.322,129
-112,129,0.780106,-0.000125885,0.019766,-0.000114655,0.000130194,0.0197668,-0.000115508,0.00654843,0.00372887,38,21,0.780105,0.000126599,-111.22,129
-107,129,0.875927,0.000766754,0.0187751,-0.000148487,8.62399e-05,0.0187755,-0.000148879,0.00455714,0.00299586,43,21,0.875926,-0.000766337,-106.124,129.001
-102,129,0.966244,-0.000841141,0.0181627,-0.000143381,2.94264e-05,0.0181628,-0.000143428,0.00160746,0.00235365,48,21,0.966245,0.000840263,-101.034,128.999
-97,129,1.05491,-0.000926971,0.0181635,-0.000104209,-4.49821e-06,0.0181635,-0.00010421,-0.000246239,0.00244295,53,21,1.05491,0.000926379,-95.9451,128.999
-92,129,1.14396,-0.00146294,0.0187639,-6.22349e-05,-3.06106e-05,0.018764,-6.2285e-05,-0.00162596,0.003023,58,21,1.14396,0.00146218,-90.856,128.999
-87,129,1.24026,-0.00190544,0.0197452,-3.23205e-05,-4.37072e-05,0.0197453,-3.24175e-05,-0.00220994,0.00382807,63,21,1.24026,0.00190586,-85.7597,128.998
-82,129,1.34409,-0.00240326,0.020704,-4.44796e-07,-5.46279e-05,0.0207041,-5.89527e-07,-0.00263844,0.00444056,68,21,1.34409,0.00240311,-80.6559,128.998
-77,129,1.45351,-0.00205612,0.0212582,2.55437e-05,-4.8666e-05,0.0212583,2.54326e-05,-0.00229202,0.00486952,73,21,1.45352,0.00205536,-75.5465,128.998
-72,129,1.56407,-0.00144386,0.0212318,4.19001e-05,-2.85398e-05,0.0212318,4.1862e-05,-0.00134686,0.00501881,78,21,1.56408,0.00144416,-70.4359,128.999
-67,129,1.67197,-0.000291824,0.0206628,4.8851e-05,-3.97526e-06,0.0206628,4.88507e-05,-0.000192843,0.00464162,83,21,1.67197,0.000292751,-65.328,129
-62,129,1.77568,2.67029e-05,0.0197548,5.74637e-05,1.15721e-05,0.0197548,5.74579e-05,0.000587494,0.0039179,88,21,1.77568,-2.76031e-05,-60.2243,129
-57,129,1.873,0.000671387,0.0188402,5.86538e-05,2.23628e-05,0.0188402,5.86277e-05,0.00119068,0.00302178,93,21,1.873,-0.000672227,-55.127,129.001
-52,129,1.9626,0.000701904,0.0182352,6.68201e-05,2.99976e-05,0.0182353,6.67712e-05,0.00165108,0.00248796,98,21,1.9626,-0.000701031,-50.0374,129.001
-47,129,2.05135,0.00069809,0.018207,6.27352e-05,3.5891e-05,0.0182071,6.2665e-05,0.00197808,0.00274696,103,21,2.05134,-0.000697378,-44.9487,129.001
-42,129,2.14245,0.00163651,0.0188533,5.55987e-05,4.1399e-05,0.0188534,5.55068e-05,0.00220232,0.00348271,108,21,2.14245,-0.00163583,-39.8576,129.002
-37,129,2.236,0.000686646,0.0199374,4.44398e-05,3.80347e-05,0.0199374,4.43663e-05,0.00191196,0.00416938,113,21,2.236,-0.000686352,-34.764,129.001
-32,129,2.34253,0.00031662,0.0210263,3.92352e-05,3.47773e-05,0.0210264,3.9177e-05,0.00165708,0.00469843,118,21,2.34253,-0.000317363,-29.6575,129
-27,129,2.4549,0.000392914,0.021677,5.12616e-05,4.15708e-05,0.021677,5.11818e-05,0.00192228,0.00491414,123,21,2.4549,-0.00039317,-24.5451,129
-22,129,2.56691,0.000482559,0.0215877,7.00092e-05,5.11445e-05,0.0215878,6.98874e-05,0.00237684,0.00484955,128,21,2.56691,-0.000482786,-19.4331,129
-17,129,2.67844,0.000434875,0.0208086,6.49877e-05,4.51965e-05,0.0208087,6.4889e-05,0.00217881,0.0044816,133,21,2.67843,-0.000435742,-14.3216,129
-12,129,2.78169,-0.000535965,0.0196719,3.13719e-05,3.31697e-05,0.019672,3.13167e-05,0.00168883,0.00390148,138,21,2.78169,0.000536633,-9.21831,128.999
-7,129,2.87576,-0.000455856,0.0185824,-5.13624e-06,1.70315e-05,0.0185824,-5.15115e-06,0.000916284,0.00317873,143,21,2.87577,0.000455477,-4.12424,129
